UNIQUD,NAME,Fold change (Stage1 DAM to Stage2 DAM),Z-value (Mann Whitney), -log10(p-value) Mann Whitney
Gm15970,Gm15970,0,,
Gm15971,Gm15971,0,,
Gm15972,Gm15972,0,,
Gm15974,Gm15974,0,,
Gm15975,Gm15975,0.0129,0.9835,0.4876
Gm15976,Gm15976,0,,
Gm15978,Gm15978,0,,
Gm15979,Gm15979,0,,
Gm15980,Gm15980,0,,
Gm15981,Gm15981,0,,
Gm15982,Gm15982,0,,
Gm15983,Gm15983,0,,
Gm15984,Gm15984,0,,
Gm15985,Gm15985,0,,
Gm15986,Gm15986,0,,
Gm15987,Gm15987,-0.0017,-1.431,0.8169
Gm15988,Gm15988,0,,
Gm15989,Gm15989,0,,
Gm15990,Gm15990,0,,
Gm15991,Gm15991,0,,
Gm15992,Gm15992,0,,
Gm15994,Gm15994,0,,
Gm15995,Gm15995,0,,
Gm15996,Gm15996,0,,
Gm15997,Gm15997,0,,
Gm15998,Gm15998,0,,
Gm15999,Gm15999,0,,
Gm16000,Gm16000,0,,
Gm16001,Gm16001,0,,
Gm16002,Gm16002,0,,
Gm16004,Gm16004,0,,
Gm16005,Gm16005,0.0004,0.6927,0.3111
Gm16006,Gm16006,0,,
Gm16007,Gm16007,0,,
Gm16008,Gm16008,0,,
Gm16010,Gm16010,0,,
Gm16011,Gm16011,0,,
Gm16012,Gm16012,0,,
Gm16013,Gm16013,0,,
Gm16014,Gm16014,0,,
Gm16015,Gm16015,0,,
Gm16016,Gm16016,0,,
Gm16017,Gm16017,0,,
Gm16019,Gm16019,0,,
Gm16020,Gm16020,0.0485,0.288,0.1116
Gm16021,Gm16021,0.0042,0.6927,0.3111
Gm16022,Gm16022,0,,
Gm16023,Gm16023,0,,
Gm16024,Gm16024,0,,
Gm16025,Gm16025,0,,
Gm16026,Gm16026,-0.0002,0.3245,0.1275
Gm16027,Gm16027,0,,
Gm16028,Gm16028,0,,
Gm16029,Gm16029,0,,
Gm16030,Gm16030,0,,
Gm16031,Gm16031,0,,
Gm16032,Gm16032,0,,
Gm16033,Gm16033,0,,
Gm16034,Gm16034,0,,
Gm16035,Gm16035,0,,
Gm16036,Gm16036,0,,
Gm16038,Gm16038,0,,
Gm16039,Gm16039,0.0408,-0.5566,0.2382
Gm16040,Gm16040,0.0025,0.6927,0.3111
Gm16041,Gm16041,0,,
Gm16042,Gm16042,0,,
Gm16043,Gm16043,0,,
Gm16044,Gm16044,0,,
Gm16045,Gm16045,0,,
Gm16046,Gm16046,0,,
Gm16047,Gm16047,0,,
Gm16048,Gm16048,0,,
Gm16049,Gm16049,0,,
Gm1604A,Gm1604A,0,,
Gm1604b,Gm1604b,0,,
Gm16051,Gm16051,0,,
Gm16052,Gm16052,0,,
Gm16053,Gm16053,-0.0057,-3.1126,2.7317
Gm16054,Gm16054,0,,
Gm16055,Gm16055,0,,
Gm16056,Gm16056,0,,
Gm16057,Gm16057,0,,
Gm16058,Gm16058,0,,
Gm16059,Gm16059,0,,
Gm16060,Gm16060,0.0255,-0.0153,0.0053
Gm16061,Gm16061,0.0403,1.9829,1.3244
Gm16062,Gm16062,-0.0213,-2.4881,1.8914
Gm16063,Gm16063,0,,
Gm16064,Gm16064,-0.0034,-1.431,0.8169
Gm16065,Gm16065,0,,
Gm16066,Gm16066,0,,
Gm16067,Gm16067,0,,
Gm16068,Gm16068,0,,
Gm16069,Gm16069,0,,
Gm16070,Gm16070,0,,
Gm16071,Gm16071,0,,
Gm16072,Gm16072,0.0028,0.3245,0.1275
Gm16073,Gm16073,0,,
Gm16074,Gm16074,0,,
Gm16075,Gm16075,0,,
Gm16076,Gm16076,0,,
Gm16077,Gm16077,0,,
Gm16078,Gm16078,0,,
Gm16079,Gm16079,0,,
Gm16080,Gm16080,0,,
Gm16081,Gm16081,0,,
Gm16082,Gm16082,0.0083,-1.1459,0.5989
Gm16083,Gm16083,-0.0034,-1.431,0.8169
Gm16084,Gm16084,0,,
Gm16085,Gm16085,0,,
Gm16086,Gm16086,0,,
Gm16087,Gm16087,0,,
Gm16088,Gm16088,0,,
Gm16089,Gm16089,0.012,-0.8467,0.401
Gm16090,Gm16090,0,,
Gm16091,Gm16091,0,,
Gm16092,Gm16092,0,,
Gm16093,Gm16093,0,,
Gm16094,Gm16094,0,,
Gm16095,Gm16095,0,,
Gm16096,Gm16096,0,,
Gm16098,Gm16098,0,,
Gm16099,Gm16099,0,,
Gm16100,Gm16100,0,,
Gm16101,Gm16101,0,,
Gm16102,Gm16102,0,,
Gm16103,Gm16103,0,,
Gm16104,Gm16104,0.0015,-0.5167,0.218
Gm16105,Gm16105,0,,
Gm16106,Gm16106,0,,
Gm16107,Gm16107,0,,
Gm16108,Gm16108,0,,
Gm16110,Gm16110,0,,
Gm16111,Gm16111,0.0316,-0.9322,0.4544
Gm16112,Gm16112,0,,
Gm16113,Gm16113,0,,
Gm16114,Gm16114,0,,
Gm16116,Gm16116,0,,
Gm16117,Gm16117,0,,
Gm16118,Gm16118,0.0176,0.3915,0.1577
Gm16119,Gm16119,0,,
Gm16120,Gm16120,0,,
Gm16121,Gm16121,0,,
Gm16122,Gm16122,0,,
Gm16123,Gm16123,0,,
Gm16124,Gm16124,0.0054,-0.5167,0.218
Gm16125,Gm16125,0,,
Gm16126,Gm16126,0,,
Gm16127,Gm16127,0,,
Gm16128,Gm16128,0,,
Gm16129,Gm16129,0,,
Gm16130,Gm16130,0,,
Gm16131,Gm16131,0,,
Gm16132,Gm16132,0,,
Gm16133,Gm16133,0,,
Gm16134,Gm16134,0.0076,0.8355,0.3942
Gm16135,Gm16135,0,,
Gm16136,Gm16136,0,,
Gm16137,Gm16137,0,,
Gm16138,Gm16138,0,,
Gm16139,Gm16139,-0.0034,-1.431,0.8169
Gm1614,Gm1614,0,,
Gm16140,Gm16140,0,,
Gm16141,Gm16141,0,,
Gm16142,Gm16142,0,,
Gm16143,Gm16143,0,,
Gm16144,Gm16144,0,,
Gm16145,Gm16145,0,,
Gm16146,Gm16146,0,,
Gm16147,Gm16147,0,,
Gm16148,Gm16148,0.0096,0.9835,0.4876
Gm16149,Gm16149,0.0058,0.6927,0.3111
Gm16150,Gm16150,0,,
Gm16151,Gm16151,0,,
Gm16152,Gm16152,0,,
Gm16153,Gm16153,0,,
Gm16154,Gm16154,0,,
Gm16155,Gm16155,0,,
Gm16156,Gm16156,0,,
Gm16157,Gm16157,0,,
Gm16158,Gm16158,0,,
Gm16159,Gm16159,0,,
Gm16160,Gm16160,0,,
Gm16161,Gm16161,0,,
Gm16162,Gm16162,0,,
Gm16163,Gm16163,0,,
Gm16164,Gm16164,0,,
Gm16165,Gm16165,0.0021,0.6927,0.3111
Gm16166,Gm16166,-0.0069,-1.431,0.8169
Gm16167,Gm16167,0,,
Gm16168,Gm16168,0,,
Gm16169,Gm16169,0,,
Gm16170,Gm16170,0,,
Gm16171,Gm16171,0,,
Gm16172,Gm16172,0,,
Gm16174,Gm16174,0.005,0.6927,0.3111
Gm16175,Gm16175,0,,
Gm16176,Gm16176,0,,
Gm16177,Gm16177,-0.0043,-2.0286,1.3716
Gm16178,Gm16178,0,,
Gm16179,Gm16179,0,,
Gm16180,Gm16180,0,,
Gm16181,Gm16181,0.0086,-0.5566,0.2382
Gm16183,Gm16183,0,,
Gm16184,Gm16184,0,,
Gm16185,Gm16185,0,,
Gm16186,Gm16186,0,,
Gm16187,Gm16187,-0.0051,-1.431,0.8169
Gm16188,Gm16188,0,,
Gm16189,Gm16189,0,,
Gm16190,Gm16190,0,,
Gm16191,Gm16191,0,,
Gm16192,Gm16192,-0.0051,-1.431,0.8169
Gm16193,Gm16193,0,,
Gm16194,Gm16194,0,,
Gm16195,Gm16195,0,,
Gm16196,Gm16196,0,,
Gm16197,Gm16197,0,,
Gm16198,Gm16198,0,,
Gm16199,Gm16199,0.0029,0.6927,0.3111
Gm16200,Gm16200,0.0113,-0.0255,0.0089
Gm16201,Gm16201,0,,
Gm16202,Gm16202,0,,
Gm16203,Gm16203,0,,
Gm16204,Gm16204,0,,
Gm16205,Gm16205,0,,
Gm16206,Gm16206,0,,
Gm16207,Gm16207,0,,
Gm16208,Gm16208,0,,
Gm16209,Gm16209,0,,
Gm16210,Gm16210,-0.012,-1.431,0.8169
Gm16211,Gm16211,0,,
Gm16212,Gm16212,0,,
Gm16213,Gm16213,0,,
Gm16214,Gm16214,0,,
Gm16215,Gm16215,0,,
Gm16216,Gm16216,0,,
Gm16217,Gm16217,0,,
Gm16218,Gm16218,0,,
Gm16219,Gm16219,0,,
Gm16220,Gm16220,0,,
Gm16221,Gm16221,0,,
Gm16222,Gm16222,0,,
Gm16223,Gm16223,0,,
Gm16224,Gm16224,0,,
Gm16225,Gm16225,0,,
Gm16226,Gm16226,0,,
Gm16227,Gm16227,0,,
Gm16228,Gm16228,0,,
Gm16229,Gm16229,0,,
Gm16230,Gm16230,0.0058,0.6927,0.3111
Gm16231,Gm16231,0,,
Gm16232,Gm16232,0,,
Gm16233,Gm16233,0,,
Gm16234,Gm16234,0,,
Gm16235,Gm16235,0,,
Gm16236,Gm16236,0,,
Gm16237,Gm16237,0,,
Gm16238,Gm16238,0.3281,2.315,1.6859
Gm16239,Gm16239,0,,
Gm16240,Gm16240,0,,
Gm16241,Gm16241,0,,
Gm16242,Gm16242,0,,
Gm16243,Gm16243,0,,
Gm16244,Gm16244,-0.0086,-1.431,0.8169
Gm16245,Gm16245,0,,
Gm16246,Gm16246,0,,
Gm16247,Gm16247,0.1694,-1.0828,0.5546
Gm16248,Gm16248,0,,
Gm16249,Gm16249,0,,
Gm16250,Gm16250,0,,
Gm16251,Gm16251,0,,
Gm16252,Gm16252,0,,
Gm16253,Gm16253,0,,
Gm16254,Gm16254,0,,
Gm16255,Gm16255,0,,
Gm16256,Gm16256,0,,
Gm16257,Gm16257,0,,
Gm16258,Gm16258,0,,
Gm16259,Gm16259,0,,
Gm16260,Gm16260,-0.0135,-1.175,0.6198
Gm16261,Gm16261,0,,
Gm16262,Gm16262,0,,
Gm16263,Gm16263,0,,
Gm16265,Gm16265,0,,
Gm16266,Gm16266,-0.0051,-2.0286,1.3716
Gm16267,Gm16267,0,,
Gm16268,Gm16268,0,,
Gm16269,Gm16269,0,,
Gm16270,Gm16270,0,,
Gm16271,Gm16271,0,,
Gm16272,Gm16272,0.0037,0.6927,0.3111
Gm16273,Gm16273,0,,
Gm16274,Gm16274,0,,
Gm16275,Gm16275,0,,
Gm16276,Gm16276,-0.0043,-1.431,0.8169
Gm16277,Gm16277,0,,
Gm16278,Gm16278,0,,
Gm16279,Gm16279,0,,
Gm16280,Gm16280,0,,
Gm16282,Gm16282,0,,
Gm16283,Gm16283,0,,
Gm16284,Gm16284,0,,
Gm16285,Gm16285,0,,
Gm16286,Gm16286,-0.0947,-5.0916,6.4496
Gm16287,Gm16287,0,,
Gm16288,Gm16288,0.1161,-1.2571,0.6804
Gm16289,Gm16289,0,,
Gm16290,Gm16290,0,,
Gm16291,Gm16291,0,,
Gm16292,Gm16292,0,,
Gm16294,Gm16294,0,,
Gm16295,Gm16295,0,,
Gm16296,Gm16296,0,,
Gm16297,Gm16297,0,,
Gm16298,Gm16298,0.0158,0.6927,0.3111
Gm16299,Gm16299,0,,
Gm16300,Gm16300,0,,
Gm16301,Gm16301,-0.006,-1.431,0.8169
Gm16302,Gm16302,0,,
Gm16303,Gm16303,0.0004,-0.5167,0.218
Gm16304,Gm16304,0.005,0.6927,0.3111
Gm16305,Gm16305,0,,
Gm16306,Gm16306,0,,
Gm16307,Gm16307,0,,
Gm16308,Gm16308,0,,
Gm16309,Gm16309,0,,
Gm1631,Gm1631,0,,
Gm16310,Gm16310,0,,
Gm16311,Gm16311,0,,
Gm16312,Gm16312,0,,
Gm16314,Gm16314,0,,
Gm16315,Gm16315,-0.0026,-1.431,0.8169
Gm16316,Gm16316,0,,
Gm16317,Gm16317,0,,
Gm16318,Gm16318,0,,
Gm16320,Gm16320,0,,
Gm16321,Gm16321,0,,
Gm16322,Gm16322,0,,
Gm16323,Gm16323,0,,
Gm16325,Gm16325,0,,
Gm16326,Gm16326,0,,
Gm16327,Gm16327,0,,
Gm16328,Gm16328,0,,
Gm16329,Gm16329,0,,
Gm16330,Gm16330,0,,
Gm16331,Gm16331,0,,
Gm16332,Gm16332,0,-0.039,0.0137
Gm16333,Gm16333,0,,
Gm16334,Gm16334,0,,
Gm16335,Gm16335,-0.0026,-1.431,0.8169
Gm16336,Gm16336,0,,
Gm16337,Gm16337,0,,
Gm16338,Gm16338,0,,
Gm16339,Gm16339,0,,
Gm16340,Gm16340,0,,
Gm16341,Gm16341,0,,
Gm16342,Gm16342,0,,
Gm16343,Gm16343,0,,
Gm16344,Gm16344,0,,
Gm16345,Gm16345,0,,
Gm16346,Gm16346,0,,
Gm16347,Gm16347,0,,
Gm16348,Gm16348,0,,
Gm16349,Gm16349,0,,
Gm16350,Gm16350,0,,
Gm16351,Gm16351,0,,
Gm16352,Gm16352,0,,
Gm16353,Gm16353,0,,
Gm16354,Gm16354,0,,
Gm16355,Gm16355,0,,
Gm16356,Gm16356,0,,
Gm16357,Gm16357,0,,
Gm16358,Gm16358,0,,
Gm16359,Gm16359,0,,
Gm16360,Gm16360,0,,
Gm16361,Gm16361,0,,
Gm16362,Gm16362,0,,
Gm16363,Gm16363,0,,
Gm16364,Gm16364,0,,
Gm16365,Gm16365,0,,
Gm16368,Gm16368,0,,
Gm16372,Gm16372,-0.0051,-1.431,0.8169
Gm16373,Gm16373,0.0017,0.6927,0.3111
Gm16378,Gm16378,0.0008,0.6927,0.3111
Gm16379,Gm16379,-0.0411,-4.0973,4.3788
Gm16380,Gm16380,0,,
Gm16381,Gm16381,0,,
Gm16382,Gm16382,0.0113,1.0368,0.5231
Gm16383,Gm16383,0,,
Gm16386,Gm16386,-0.0043,-1.431,0.8169
Gm16387,Gm16387,0,,
Gm16388,Gm16388,0,,
Gm16390,Gm16390,0,,
Gm16391,Gm16391,0,,
Gm16394,Gm16394,-0.0034,-1.431,0.8169
Gm16397,Gm16397,0,,
Gm16400,Gm16400,0,,
Gm16401,Gm16401,0,,
Gm16404,Gm16404,0,,
Gm16405,Gm16405,0,,
Gm16407,Gm16407,0,,
Gm16409,Gm16409,-0.0134,-0.9154,0.4437
Gm16410,Gm16410,0,,
Gm16411,Gm16411,0,,
Gm16412,Gm16412,0,,
Gm16415,Gm16415,-0.0048,-1.2998,0.7129
Gm16416,Gm16416,0.0091,0.9835,0.4876
Gm16418,Gm16418,0.0411,0.5648,0.2424
Gm16420,Gm16420,0,,
Gm16421,Gm16421,0,,
Gm16422,Gm16422,0,,
Gm16423,Gm16423,0,,
Gm16424,Gm16424,0,,
Gm16425,Gm16425,0,,
Gm16427,Gm16427,0,,
Gm16428,Gm16428,0,,
Gm16429,Gm16429,0,,
Gm16430,Gm16430,0,,
Gm16431,Gm16431,0,,
Gm16432,Gm16432,0,,
Gm16433,Gm16433,0.0019,0.3245,0.1275
Gm16434,Gm16434,0,,
Gm16436,Gm16436,0,,
Gm16437,Gm16437,0.0017,0.6927,0.3111
Gm16439,Gm16439,0.0015,-1.2501,0.6751
Gm16440,Gm16440,0,,
Gm16441,Gm16441,0,,
Gm16442,Gm16442,0,,
Gm16445,Gm16445,0,,
Gm16451,Gm16451,0,,
Gm16454,Gm16454,0,,
Gm16456,Gm16456,0,,
Gm16458,Gm16458,0,,
Gm16459,Gm16459,0,,
Gm16460,Gm16460,0,,
Gm16462,Gm16462,0,,
Gm16463,Gm16463,0,,
Gm16464,Gm16464,0,,
Gm16465,Gm16465,-0.0017,-1.431,0.8169
Gm16469,Gm16469,0.0478,-0.5419,0.2307
Gm16471,Gm16471,0,,
Gm16477,Gm16477,0.0141,-2.1859,1.5402
Gm16478,Gm16478,0,,
Gm16479,Gm16479,0,,
Gm16480,Gm16480,0,,
Gm16481,Gm16481,0,,
Gm16484,Gm16484,0,,
Gm16485,Gm16485,0,,
Gm16487,Gm16487,0,,
Gm16490,Gm16490,0.0062,-0.0168,0.0059
Gm16493,Gm16493,-0.0043,-2.0286,1.3716
Gm16494,Gm16494,0,,
Gm16496,Gm16496,-0.0051,-1.431,0.8169
Gm16499,Gm16499,0,,
Gm16500,Gm16500,0,,
Gm16501,Gm16501,0,,
Gm16503,Gm16503,0,,
Gm16506,Gm16506,0,,
Gm16508,Gm16508,0,,
Gm16510,Gm16510,0,,
Gm16511,Gm16511,0,,
Gm16512,Gm16512,0,,
Gm16513,Gm16513,0,,
Gm16515,Gm16515,-0.0378,-3.8545,3.9357
Gm16516,Gm16516,-0.0145,-1.8116,1.1546
Gm16517,Gm16517,-0.0625,-2.8429,2.3497
Gm16518,Gm16518,0,,
Gm16519,Gm16519,0.0047,-0.8095,0.3786
Gm16520,Gm16520,0,,
Gm16522,Gm16522,0,,
Gm16523,Gm16523,0,,
Gm16529,Gm16529,0,,
Gm16532,Gm16532,0,,
Gm16533,Gm16533,0,,
Gm16534,Gm16534,0,,
Gm16535,Gm16535,0,,
Gm16536,Gm16536,-0.0155,-1.7849,1.1292
Gm16537,Gm16537,-0.0065,-0.7425,0.3394
Gm16538,Gm16538,0,,
Gm16539,Gm16539,0,,
Gm16540,Gm16540,0,,
Gm16541,Gm16541,0,,
Gm16542,Gm16542,0,,
Gm16543,Gm16543,0,,
Gm16545,Gm16545,0,,
Gm16546,Gm16546,0,,
Gm16547,Gm16547,0,,
Gm16548,Gm16548,0,,
Gm16549,Gm16549,0,,
Gm16550,Gm16550,0,,
Gm16551,Gm16551,0,,
Gm16552,Gm16552,0,,
Gm16553,Gm16553,0,,
Gm16554,Gm16554,0,,
Gm16555,Gm16555,0,,
Gm16556,Gm16556,0,,
Gm16557,Gm16557,0,,
Gm16558,Gm16558,0,,
Gm16559,Gm16559,0,,
Gm16560,Gm16560,0,,
Gm16561,Gm16561,0,,
Gm16563,Gm16563,0,,
Gm16564,Gm16564,0,,
Gm16565,Gm16565,0,,
Gm16566,Gm16566,0,,
Gm16567,Gm16567,0,,
Gm16568,Gm16568,0,,
Gm16569,Gm16569,0,,
Gm16570,Gm16570,0,,
Gm16571,Gm16571,0,,
Gm16572,Gm16572,0,,
Gm16573,Gm16573,0,,
Gm16574,Gm16574,0,,
Gm16575,Gm16575,0,,
Gm16576,Gm16576,0,,
Gm16577,Gm16577,0,,
Gm16578,Gm16578,0,,
Gm16579,Gm16579,0,,
Gm16580,Gm16580,0.1368,0.0462,0.0163
Gm16581,Gm16581,0,,
Gm16582,Gm16582,0,,
Gm16583,Gm16583,0,,
Gm16584,Gm16584,0,,
Gm16585,Gm16585,0.0002,-1.3735,0.7706
Gm16586,Gm16586,0,,
Gm16587,Gm16587,0,,
Gm16588,Gm16588,0,,
Gm16589,Gm16589,-0.0072,-3.1249,2.75
Gm16591,Gm16591,0,,
Gm16592,Gm16592,0,,
Gm16593,Gm16593,0,,
Gm16594,Gm16594,0,,
Gm16595,Gm16595,0,,
Gm16596,Gm16596,0,,
Gm16597,Gm16597,0,,
Gm16598,Gm16598,0,,
Gm16599,Gm16599,0,,
Gm166,Gm166,0,,
Gm16600,Gm16600,0,,
Gm16601,Gm16601,0,,
Gm16602,Gm16602,0,,
Gm16603,Gm16603,0,,
Gm16604,Gm16604,0,,
Gm16606,Gm16606,0,,
Gm16608,Gm16608,0,,
Gm16609,Gm16609,0,,
Gm1661,Gm1661,0,,
Gm16610,Gm16610,0,,
Gm16611,Gm16611,0,,
Gm16612,Gm16612,0,,
Gm16613,Gm16613,0,,
Gm16615,Gm16615,0,,
Gm16617,Gm16617,0,,
Gm16618,Gm16618,0,,
Gm16619,Gm16619,0,,
Gm16621,Gm16621,0,,
Gm16624,Gm16624,0,,
Gm16625,Gm16625,-0.0258,-2.8239,2.3238
Gm16626,Gm16626,0,,
Gm16627,Gm16627,0.0116,1.3956,0.7883
Gm16628,Gm16628,0,,
Gm16629,Gm16629,0,,
Gm16630,Gm16630,0,,
Gm16631,Gm16631,0,,
Gm16632,Gm16632,0,,
Gm16633,Gm16633,0,,
Gm16637,Gm16637,0,,
Gm16638,Gm16638,0,,
Gm16639,Gm16639,0,,
Gm16641,Gm16641,0.0041,-0.0255,0.0089
Gm16652,Gm16652,0,,
Gm16653,Gm16653,0,,
Gm16654,Gm16654,0,,
Gm16655,Gm16655,0,,
Gm16656,Gm16656,0,,
Gm16657,Gm16657,0,,
Gm16658,Gm16658,0,,
Gm16659,Gm16659,0,,
Gm16660,Gm16660,0,,
Gm16661,Gm16661,0,,
Gm16662,Gm16662,0,,
Gm16664,Gm16664,0,,
Gm16665,Gm16665,0,,
Gm16666,Gm16666,0,,
Gm16667,Gm16667,0,,
Gm16668,Gm16668,0,,
Gm16669,Gm16669,0,,
Gm1667,Gm1667,0,,
Gm16670,Gm16670,0,,
Gm16671,Gm16671,0,,
Gm16672,Gm16672,0,,
Gm16673,Gm16673,0,,
Gm16674,Gm16674,0,,
Gm16675,Gm16675,0,,
Gm16677,Gm16677,0,,
Gm16682,Gm16682,0,,
Gm16683,Gm16683,0,,
Gm16684,Gm16684,0,,
Gm16685,Gm16685,0,,
Gm16686,Gm16686,0,,
Gm16693,Gm16693,0,,
Gm16694,Gm16694,0,,
Gm16695,Gm16695,0,,
Gm16696,Gm16696,0,,
Gm16698,Gm16698,0,,
Gm16699,Gm16699,0,,
Gm16700,Gm16700,0,,
Gm16701,Gm16701,0,,
Gm16702,Gm16702,0,,
Gm16703,Gm16703,0,,
Gm16704,Gm16704,-0.0138,-2.5558,1.9749
Gm16705,Gm16705,0,,
Gm16706,Gm16706,0,,
Gm16707,Gm16707,0,,
Gm16708,Gm16708,0,,
Gm16709,Gm16709,0,,
Gm16710,Gm16710,0,,
Gm16711,Gm16711,0,,
Gm16712,Gm16712,0,,
Gm16714,Gm16714,0,,
Gm16715,Gm16715,0,,
Gm16716,Gm16716,0,,
Gm16717,Gm16717,0,,
Gm16718,Gm16718,0,,
Gm16719,Gm16719,0,,
Gm16720,Gm16720,0,,
Gm16721,Gm16721,0,,
Gm16722,Gm16722,0,,
Gm16723,Gm16723,-0.0086,-1.431,0.8169
Gm16724,Gm16724,0,,
Gm16725,Gm16725,0,,
Gm16726,Gm16726,0,,
Gm16727,Gm16727,0,,
Gm16728,Gm16728,0,,
Gm1673,Gm1673,-0.4067,-11.253,28.6503
Gm16731,Gm16731,0.0025,0.6927,0.3111
Gm16733,Gm16733,0,,
Gm16734,Gm16734,0,,
Gm16735,Gm16735,0,,
Gm16736,Gm16736,0,,
Gm16737,Gm16737,0,,
Gm16738,Gm16738,0,,
Gm16739,Gm16739,0,,
Gm16740,Gm16740,0.017,1.3956,0.7883
Gm16741,Gm16741,0,,
Gm16742,Gm16742,0,,
Gm16743,Gm16743,0,,
Gm16744,Gm16744,0,,
Gm16745,Gm16745,0,,
Gm16746,Gm16746,0,,
Gm16747,Gm16747,0,,
Gm16748,Gm16748,0,,
Gm16749,Gm16749,-0.0026,-1.431,0.8169
Gm16750,Gm16750,0,,
Gm16751,Gm16751,0,,
Gm16754,Gm16754,0,,
Gm16755,Gm16755,0,,
Gm16758,Gm16758,0,,
Gm16759,Gm16759,0,,
Gm16760,Gm16760,0,,
Gm16761,Gm16761,0,,
Gm16762,Gm16762,0,,
Gm16764,Gm16764,0,,
Gm16765,Gm16765,0,,
Gm16766,Gm16766,0,,
Gm16767,Gm16767,0,,
Gm16768,Gm16768,0,,
Gm16769,Gm16769,0,,
Gm16772,Gm16772,0,,
Gm16773,Gm16773,0,,
Gm16774,Gm16774,0,,
Gm16781,Gm16781,0,,
Gm16782,Gm16782,0,,
Gm16783,Gm16783,0,,
Gm16784,Gm16784,0,,
Gm16785,Gm16785,0,,
Gm16786,Gm16786,0,,
Gm16789,Gm16789,0,,
Gm1679,Gm1679,0,,
Gm16790,Gm16790,-0.0602,-4.9507,6.1311
Gm16791,Gm16791,0,,
Gm16792,Gm16792,0,,
Gm16793,Gm16793,0,,
Gm16794,Gm16794,0,,
Gm16795,Gm16795,0,,
Gm16796,Gm16796,0,,
Gm16799,Gm16799,0,,
Gm16801,Gm16801,0,,
Gm16810,Gm16810,0,,
Gm16811,Gm16811,0,,
Gm16812,Gm16812,0,,
Gm16813,Gm16813,0,,
Gm16814,Gm16814,0,,
Gm16815,Gm16815,0,,
Gm16816,Gm16816,0,,
Gm16817,Gm16817,0,,
Gm16818,Gm16818,0,,
Gm16819,Gm16819,0,,
Gm16820,Gm16820,0,,
Gm16821,Gm16821,0,,
Gm16822,Gm16822,0,,
Gm16823,Gm16823,0,,
Gm16824,Gm16824,0,,
Gm16825,Gm16825,0.0296,0.3328,0.1312
Gm16827,Gm16827,0,,
Gm16828,Gm16828,0,,
Gm16829,Gm16829,0,,
Gm16830,Gm16830,0,,
Gm16831,Gm16831,0,,
Gm16832,Gm16832,0,,
Gm16833,Gm16833,0,,
Gm16834,Gm16834,0.0029,0.6927,0.3111
Gm16835,Gm16835,0,,
Gm16836,Gm16836,0.0095,0.3328,0.1312
Gm16837,Gm16837,0,,
Gm16838,Gm16838,0,,
Gm16839,Gm16839,0,,
Gm16841,Gm16841,0,,
Gm16842,Gm16842,0,,
Gm16843,Gm16843,0,,
Gm16845,Gm16845,-0.0051,-2.0286,1.3716
Gm16847,Gm16847,0,,
Gm16853,Gm16853,0,,
Gm16854,Gm16854,0,,
Gm16857,Gm16857,0,,
Gm16858,Gm16858,0,,
Gm16860,Gm16860,0,,
Gm16861,Gm16861,-0.0017,-2.0286,1.3716
Gm16862,Gm16862,-0.0009,-1.431,0.8169
Gm16863,Gm16863,0,,
Gm16865,Gm16865,0,,
Gm16866,Gm16866,0,,
Gm16867,Gm16867,-0.0027,-1.2979,0.7115
Gm16869,Gm16869,0.0089,-1.5318,0.9011
Gm16871,Gm16871,0,,
Gm16875,Gm16875,0,,
Gm16876,Gm16876,0,,
Gm16877,Gm16877,0,,
Gm16878,Gm16878,0,,
Gm16879,Gm16879,0,,
Gm16880,Gm16880,0,,
Gm16881,Gm16881,-0.0034,-1.431,0.8169
Gm16882,Gm16882,0,,
Gm16884,Gm16884,0,,
Gm16885,Gm16885,0,,
Gm16886,Gm16886,0,,
Gm16887,Gm16887,0,,
Gm16888,Gm16888,0,,
Gm16889,Gm16889,0,,
Gm16890,Gm16890,0,,
Gm16891,Gm16891,0,,
Gm16892,Gm16892,0,,
Gm16894,Gm16894,0,,
Gm16896,Gm16896,0,,
Gm16897,Gm16897,-0.0026,-1.431,0.8169
Gm16898,Gm16898,0,,
Gm16899,Gm16899,0,,
Gm16900,Gm16900,0,,
Gm16901,Gm16901,0,,
Gm16907,Gm16907,0,,
Gm16908,Gm16908,0,,
Gm16912,Gm16912,0,,
Gm16913,Gm16913,0,,
Gm16915,Gm16915,0,,
Gm16916,Gm16916,0,,
Gm16918,Gm16918,0,,
Gm16919,Gm16919,0,,
Gm16920,Gm16920,0,,
Gm16921,Gm16921,0,,
Gm16922,Gm16922,0,,
Gm16923,Gm16923,0,,
Gm16924,Gm16924,0,,
Gm16925,Gm16925,0,,
Gm16926,Gm16926,0,,
Gm16927,Gm16927,0,,
Gm16928,Gm16928,0,,
Gm16929,Gm16929,0,,
Gm16930,Gm16930,0,,
Gm16931,Gm16931,0,,
Gm16932,Gm16932,0,,
Gm16933,Gm16933,0,,
Gm16934,Gm16934,0,,
Gm16936,Gm16936,0,,
Gm16938,Gm16938,0.0021,0.6927,0.3111
Gm16940,Gm16940,0,,
Gm16941,Gm16941,0,,
Gm16942,Gm16942,0,,
Gm16947,Gm16947,0,,
Gm16948,Gm16948,0,,
Gm16949,Gm16949,0,,
Gm16950,Gm16950,0,,
Gm16952,Gm16952,0,,
Gm16953,Gm16953,0,,
Gm16954,Gm16954,0,,
Gm16956,Gm16956,0,,
